,area_name,area_url
179,Hobo Cave,http://www.mountainproject.com/v/hobo-cave/106453163
180,Hueco Overhang Ridge,http://www.mountainproject.com/v/hueco-overhang-ridge/108766944
181,King Conquerer,http://www.mountainproject.com/v/king-conquerer/105746292
182,Little Flatiron,http://www.mountainproject.com/v/little-flatiron/105746746
183,Loose Flake Spire,http://www.mountainproject.com/v/loose-flake-spire/106909245
184,Miscellaneous Valley,http://www.mountainproject.com/v/miscellaneous-valley/105746510
185,Monkey Traverse,http://www.mountainproject.com/v/monkey-traverse/105746504
186,Moon Rock,http://www.mountainproject.com/v/moon-rock/105746701
187,Nook's Rock,http://www.mountainproject.com/v/nooks-rock/105745409
188,North Rocks,http://www.mountainproject.com/v/north-rocks/106214956
189,Notlim Boulder,http://www.mountainproject.com/v/notlim-boulder/105746602
190,One Arms Rocks,http://www.mountainproject.com/v/one-arms-rocks/105746513
191,Overhang Wall,http://www.mountainproject.com/v/overhang-wall/106148249
192,Panorama Rock,http://www.mountainproject.com/v/panorama-rock/108078211
193,Pebble Boulder,http://www.mountainproject.com/v/pebble-boulder/105746492
194,Pinnacle Colada,http://www.mountainproject.com/v/pinnacle-colada/105812046
195,Pratt's Rock aka Pratt's Overhang,http://www.mountainproject.com/v/pratts-rock-aka-pratts-overhang/105746289
196,Pumpkin Rock,http://www.mountainproject.com/v/pumpkin-rock/107145293
197,Rear-End Rock,http://www.mountainproject.com/v/rear-end-rock/105746788
198,Red Wall,http://www.mountainproject.com/v/red-wall/105744871
199,Rib Boulder,http://www.mountainproject.com/v/rib-boulder/107100915
200,Road Sign Rock,http://www.mountainproject.com/v/road-sign-rock/105746668
201,Shark's Rock,http://www.mountainproject.com/v/sharks-rock/105746749
202,Three of a Kind Wall,http://www.mountainproject.com/v/three-of-a-kind-wall/105746578
203,Tombstone Spire,http://www.mountainproject.com/v/tombstone-spire/106747274
204,Trail Side Wall aka Plain View Ridge,http://www.mountainproject.com/v/trail-side-wall-aka-plain-view-ridge/105804730
205,Tree Slab,http://www.mountainproject.com/v/tree-slab/105746170
206,Umbrella Tree,http://www.mountainproject.com/v/umbrella-tree/105745403
207,Upper Y Traverse,http://www.mountainproject.com/v/upper-y-traverse/105746295
208,Central,http://www.mountainproject.com/v/central/105744237
209,North,http://www.mountainproject.com/v/north/105744231
210,"Sacred Cliffs, The",http://www.mountainproject.com/v/the-sacred-cliffs/105744298
211,South,http://www.mountainproject.com/v/south/105744252
212,Classy Wall,http://www.mountainproject.com/v/classy-wall/105746530
213,Corner Rock,http://www.mountainproject.com/v/corner-rock/105746536
214,Hawthorn Block,http://www.mountainproject.com/v/hawthorn-block/106936305
